"aircraft_type","altitude","callsign","datetime","destination","heading","id","is_on_ground","latitude","longitude","mode_s_address","origin","registration","source","source_data_type","source_flight_id","source_update_type","speed","squawk","timestamp","vertical_speed"
"B752",37000,"z.NO-A91616","2017-04-16T00:01:54",,0,1004620333,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492300914,0
"B752",37000,"z.NO-A91616","2017-04-16T00:02:48",,0,1004631706,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492300968,0
"B752",37000,"z.NO-A91616","2017-04-16T00:03:52",,0,1004643290,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301032,0
"B752",37000,"z.NO-A91616","2017-04-16T00:04:47",,0,1004654790,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301087,0
"B752",37000,"z.NO-A91616","2017-04-16T00:05:54",,0,1004666410,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301154,0
"B752",37950,"z.NO-A91616","2017-04-16T00:07:51",,0,1004682737,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301271,0
"B752",39025,"z.NO-A91616","2017-04-16T00:09:50",,0,1004698842,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301390,0
"B752",39000,"z.NO-A91616","2017-04-16T00:10:44",,0,1004710233,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301444,0
"B752",39000,"z.NO-A91616","2017-04-16T00:12:55",,0,1004726522,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301575,0
"B752",39000,"z.NO-A91616","2017-04-16T00:13:49",,0,1004737854,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301629,0
"B752",39000,"z.NO-A91616","2017-04-16T00:15:48",,0,1004754092,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301748,0
"B752",39000,"z.NO-A91616","2017-04-16T00:17:54",,0,1004770282,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301874,0
"B752",39000,"z.NO-A91616","2017-04-16T00:18:52",,0,1004781630,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301932,0
"B752",39000,,"2017-04-16T00:19:13",,,1004776021,false,31.6193,-100.626,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492301953,0
"B752",39000,,"2017-04-16T00:19:27",,,1004799023,false,31.5647,-100.508,"A91616",,"N685DA","adsbexchange","2","11081238",,513,"1367",1492301967,0
"B752",39000,"z.NO-A91616","2017-04-16T00:19:50",,0,1004793123,false,,,"A91616",,"N685DA","pinkfroot",,,,0,"1367",1492301990,0
